t,x,x_dot
17.7824183006536,41.3948694444444,-4.68944444444444
17.7924183006536,41.3479111111111,-4.70222222222222
17.8024183006536,41.300825,-4.715
17.8124183006536,41.2536111111111,-4.72777777777778
17.8224183006536,41.2062694444444,-4.74055555555556
17.8324183006536,41.1588,-4.75333333333333
17.8424183006536,41.1112027777778,-4.76611111111111
17.8524183006536,41.0634777777778,-4.77888888888889
17.8624183006536,41.015625,-4.79166666666667
17.8724183006536,40.9676444444444,-4.80444444444444
17.8824183006536,40.9195361111111,-4.81722222222222
17.8924183006536,40.8713,-4.83
17.9024183006536,40.8229361111111,-4.84277777777778
17.9124183006536,40.7744444444444,-4.85555555555556
17.9224183006536,40.725825,-4.86833333333333
17.9324183006536,40.6770777777778,-4.88111111111111
17.9424183006536,40.6282027777778,-4.89388888888889
17.9524183006536,40.5792,-4.90666666666667
17.9624183006536,40.5300694444444,-4.91944444444445
17.9724183006536,40.4808111111111,-4.93222222222222
17.9824183006536,40.431425,-4.945
17.9924183006536,40.3819111111111,-4.95777777777778
18.0024183006536,40.3322694444444,-4.97055555555556
18.0124183006536,40.2825,-4.98333333333333
18.0224183006536,40.2326027777778,-4.99611111111111
18.0324183006536,40.1825777777778,-5.00888888888889
18.0424183006536,40.132425,-5.02166666666667
18.0524183006536,40.0821444444444,-5.03444444444444
18.0624183006536,40.0317361111111,-5.04722222222222
18.0724183006536,39.9812,-5.06
18.0824183006536,39.9305361111111,-5.07277777777778
18.0924183006536,39.8797444444444,-5.08555555555556
18.1024183006536,39.828825,-5.09833333333333
18.1124183006536,39.7777777777778,-5.11111111111111
18.1224183006536,39.7266027777778,-5.12388888888889
18.1324183006536,39.6753,-5.13666666666667
18.1424183006536,39.6238694444444,-5.14944444444444
18.1524183006536,39.5723111111111,-5.16222222222222
18.1624183006536,39.520625,-5.175
18.1724183006536,39.4688111111111,-5.18777777777778
18.1824183006536,39.4168694444444,-5.20055555555556
18.1924183006536,39.3648,-5.21333333333333
18.2024183006536,39.3126027777778,-5.22611111111111
18.2124183006536,39.2602777777778,-5.23888888888889
18.2224183006536,39.207825,-5.25166666666667
18.2324183006536,39.1552444444444,-5.26444444444444
18.2424183006536,39.1025361111111,-5.27722222222222
18.2524183006536,39.0497,-5.29
18.2624183006536,38.9967361111111,-5.30277777777778
18.2724183006536,38.9436444444444,-5.31555555555556
18.2824183006536,38.890425,-5.32833333333333
18.2924183006536,38.8370777777778,-5.34111111111111
18.3024183006536,38.7836027777778,-5.35388888888889
18.3124183006536,38.73,-5.36666666666667
18.3224183006536,38.6762694444444,-5.37944444444445
18.3324183006536,38.6224111111111,-5.39222222222222
18.3424183006536,38.568425,-5.405
18.3524183006536,38.5143111111111,-5.41777777777778
18.3624183006536,38.4600694444444,-5.43055555555556
18.3724183006536,38.4057,-5.44333333333333
18.3824183006536,38.3512027777778,-5.45611111111111
18.3924183006536,38.2965777777778,-5.46888888888889
18.4024183006536,38.241825,-5.48166666666667
18.4124183006536,38.1869444444444,-5.49444444444445
18.4224183006536,38.1319361111111,-5.50722222222222
18.4324183006536,38.0768,-5.52
18.4424183006536,38.0215361111111,-5.53277777777778
18.4524183006536,37.9661444444444,-5.54555555555555
18.4624183006536,37.910625,-5.55833333333333
18.4724183006536,37.8549777777778,-5.57111111111111
18.4824183006536,37.7992027777778,-5.58388888888889
18.4924183006536,37.7433,-5.59666666666667
18.5024183006536,37.6872694444444,-5.60944444444444
18.5124183006536,37.6311111111111,-5.62222222222222
18.5224183006536,37.574825,-5.635
18.5324183006536,37.5184111111111,-5.64777777777778
18.5424183006536,37.4618694444444,-5.66055555555556
18.5524183006536,37.4052,-5.67333333333333
18.5624183006536,37.3484027777778,-5.68611111111111
18.5724183006536,37.2914777777778,-5.69888888888889
18.5824183006536,37.234425,-5.71166666666667
18.5924183006536,37.1772444444444,-5.72444444444444
18.6024183006536,37.1199361111111,-5.73722222222222
18.6124183006536,37.0625,-5.75
18.6224183006536,37.0049361111111,-5.76277777777778
18.6324183006536,36.9472444444444,-5.77555555555556
18.6424183006536,36.889425,-5.78833333333333
18.6524183006536,36.8314777777778,-5.80111111111111
18.6624183006536,36.7734027777778,-5.81388888888889
18.6724183006536,36.7152,-5.82666666666667
18.6824183006536,36.6568694444444,-5.83944444444444
18.6924183006536,36.5984111111111,-5.85222222222222
18.7024183006536,36.539825,-5.865
18.7124183006536,36.4811111111111,-5.87777777777778
18.7224183006536,36.4222694444444,-5.89055555555556
18.7324183006536,36.3633,-5.90333333333333
18.7424183006536,36.3042027777778,-5.91611111111111
18.7524183006536,36.2449777777778,-5.92888888888889
18.7624183006536,36.185625,-5.94166666666667
18.7724183006536,36.1261444444444,-5.95444444444444
18.7824183006536,36.0665361111111,-5.96722222222222
18.7924183006536,36.0068,-5.98
18.8024183006536,35.9469361111111,-5.99277777777778
18.8124183006536,35.8869444444444,-6.00555555555556
18.8224183006536,35.826825,-6.01833333333333
18.8324183006536,35.7665777777778,-6.03111111111111
18.8424183006536,35.7062027777778,-6.04388888888889
18.8524183006536,35.6457,-6.05666666666667
18.8624183006536,35.5850694444444,-6.06944444444444
18.8724183006536,35.5243111111111,-6.08222222222222
18.8824183006536,35.463425,-6.095
18.8924183006536,35.4024111111111,-6.10777777777778
18.9024183006536,35.3412694444444,-6.12055555555555
18.9124183006536,35.28,-6.13333333333333
